district,layout,area_m2,base_rent,furnished,age_days
praha10,1+kk,31,16900.0,,3
praha10,1+kk,31,18900.0,Ne,3
praha4,2+kk,40,19000.0,,3
praha4,2+kk,46,29000.0,Částečně,3
praha4,3+kk,63,24000.0,,3
praha10,2+kk,55,21000.0,Částečně,3
praha5,3+kk,92,37900.0,Částečně,3
praha6,1+1,82,18000.0,Ano,3
praha2,3+1,75,38000.0,Ano,3
praha5,2+kk,52,22000.0,Ano,3
praha7,1+kk,33,18500.0,Ne,3
praha5,2+kk,52,26000.0,Ano,3
praha5,2+1,63,25000.0,Částečně,3
praha5,2+kk,38,16500.0,Ne,3
praha3,2+kk,55,27500.0,Ne,3
praha7,2+kk,40,19000.0,Částečně,3
praha4,3+1,70,29000.0,Ano,3
praha5,2+kk,41,25000.0,Ano,3
praha5,2+kk,34,18500.0,Ano,3
praha4,2+kk,45,22000.0,,3
praha4,1+1,49,19400.0,Ne,3
praha3,1+kk,50,24500.0,Částečně,3
praha5,2+kk,56,41750.0,Ano,3
praha7,2+kk,62,31000.0,Ano,3
praha10,1+kk,40,20900.0,,3
praha10,1+kk,40,17000.0,Ano,3
praha10,2+kk,47,18000.0,,3
praha6,2+1,52,25500.0,Ne,3
praha9,2+kk,46,23500.0,Ano,4
praha6,2+kk,62,32000.0,Ne,4
praha8,2+kk,65,26000.0,Ne,4
praha1,2+kk,44,35000.0,Ano,4
praha5,1+1,36,16000.0,,4
praha2,atypical,110,57960.0,Ano,4
praha9,3+kk,78,30000.0,,4
praha9,1+kk,32,20500.0,Částečně,4
praha4,1+kk,27,17999.0,,4
praha9,3+kk,69,32900.0,Ano,4
praha4,1+kk,34,15900.0,Částečně,4
praha6,3+kk,76,37900.0,Ne,4
praha10,3+1,72,24000.0,Ne,4
praha8,1+1,45,18900.0,,4
praha9,3+1,66,21500.0,Částečně,4
praha4,2+kk,58,20000.0,Částečně,4
praha4,1+kk,32,17000.0,Částečně,4
praha5,2+kk,81,38000.0,Částečně,4
praha5,2+kk,43,25800.0,Ano,4
praha4,1+kk,32,19900.0,,4
praha4,3+kk,83,25000.0,Ne,4
praha7,2+kk,65,28000.0,Ne,4
praha4,3+1,75,23000.0,Částečně,4
praha9,3+kk,64,24500.0,Částečně,4
praha9,1+kk,32,24500.0,Částečně,4
praha9,1+kk,41,19900.0,Ne,4
praha5,2+1,83,29600.0,,4
praha5,3+kk,59,34000.0,Ano,4
praha6,2+1,54,21490.0,Ano,4
praha4,2+kk,47,19000.0,Částečně,4
praha8,3+kk,80,33000.0,Ne,4
praha1,2+kk,65,40000.0,Ano,4
praha4,3+1,66,22000.0,,4
praha5,3+kk,90,26900.0,Ano,4
praha5,2+kk,67,24000.0,Částečně,4
praha3,1+kk,31,21990.0,Ano,4
praha6,2+kk,50,18100.0,Ne,4
praha10,2+1,70,23500.0,Částečně,4
praha5,2+kk,68,26000.0,,4
praha5,2+kk,38,27000.0,Částečně,4
praha5,4+kk,108,35000.0,Ne,4
praha4,1+kk,32,18000.0,,4
praha6,3+1,76,30000.0,Ne,4
praha2,2+kk,45,25000.0,Ano,4
praha9,2+kk,48,23000.0,Ne,4
praha4,1+kk,35,15000.0,Ne,4
praha4,1+kk,25,16000.0,Ano,4
praha5,2+kk,68,27000.0,Ano,4
praha1,2+kk,100,48000.0,Ano,4
praha3,2+kk,35,23000.0,Částečně,4
praha7,1+1,35,17500.0,Částečně,4
praha4,2+kk,42,19990.0,Ano,4
praha2,2+kk,60,27500.0,Ano,4
praha2,2+kk,75,23000.0,Ano,4
praha2,1+1,45,16000.0,Ne,4
praha10,2+kk,43,16000.0,Ano,4
praha8,2+kk,80,27000.0,Ne,4
praha4,3+kk,72,30000.0,Ne,4
praha2,2+kk,73,28000.0,Ano,4
praha10,1+kk,27,14800.0,,4
praha7,4+kk,101,45000.0,Ne,4
praha3,4+kk,120,60000.0,Ano,4
praha4,1+kk,27,14500.0,,4
praha9,1+kk,34,19000.0,,4
praha8,1+1,37,20000.0,Částečně,4
praha2,3+kk,107,53130.0,Ano,5
praha10,1+kk,38,21900.0,Ano,5
praha8,2+kk,48,16700.0,Ne,5
praha5,2+kk,58,22000.0,Částečně,5
praha3,2+kk,46,23500.0,,5
praha10,1+1,39,19500.0,Ne,5
praha4,2+kk,51,22500.0,,5
praha2,1+kk,22,12000.0,Ne,5
praha4,2+kk,42,16990.0,Částečně,5
praha9,2+kk,47,21900.0,Ne,5
praha5,2+kk,54,24000.0,Ne,5
praha4,2+kk,52,22900.0,Částečně,5
praha5,2+kk,56,26000.0,Ne,5
praha10,3+1,98,32000.0,,5
praha9,2+1,53,18000.0,,5
praha4,3+kk,69,29500.0,Částečně,5
praha1,2+kk,40,25000.0,Ano,5
praha4,1+1,44,22000.0,Částečně,5
praha3,1+1,23,15990.0,Částečně,5
praha9,2+kk,47,20000.0,Ano,5
praha3,1+kk,29,16990.0,Částečně,5
praha10,3+kk,83,28000.0,,5
praha3,2+kk,56,26000.0,Částečně,5
praha5,2+kk,68,25000.0,Ne,5
praha3,3+1,70,35000.0,Ano,5
praha7,3+kk,76,32000.0,Ne,5
praha3,1+1,47,23000.0,Ano,5
praha10,2+kk,42,18000.0,,5
praha10,2+kk,43,17000.0,Částečně,5
praha7,2+kk,53,25000.0,Ne,5
praha4,3+1,73,26000.0,,5
praha5,1+kk,48,22000.0,,5
praha3,3+kk,84,45000.0,Ano,5
praha3,2+kk,43,22490.0,Ano,5
praha2,2+kk,35,25000.0,Ano,5
praha5,2+kk,54,24500.0,Částečně,5
praha6,2+1,82,38000.0,,5
praha4,3+1,64,25000.0,Částečně,5
praha10,1+kk,29,16000.0,,5
praha4,3+kk,111,35000.0,Ano,5
praha5,1+kk,24,14500.0,Ano,5
praha4,2+kk,52,22990.0,Částečně,5
praha9,2+kk,57,21000.0,Částečně,5
praha9,2+kk,42,22000.0,Částečně,5
praha6,2+kk,54,20000.0,,5
praha8,3+kk,87,30000.0,Částečně,5
praha3,2+kk,55,25000.0,,5
praha5,3+1,123,58000.0,Ano,5
praha10,1+kk,37,20000.0,Ne,5
praha4,2+1,49,24990.0,Ano,5
praha4,3+1,73,23990.0,,5
praha8,1+kk,39,18000.0,Částečně,5
praha3,1+1,64,23990.0,Ano,5
praha5,2+kk,71,28000.0,Ano,5
praha4,2+kk,41,28000.0,,5
praha9,1+kk,26,15900.0,Ne,5
praha1,3+kk,62,39000.0,,5
praha5,2+kk,38,21000.0,Částečně,5
praha2,1+kk,30,23000.0,Ano,5
praha5,2+kk,42,21000.0,Ano,5
praha5,1+kk,25,14000.0,,5
praha4,2+kk,100,25000.0,Ano,5
praha5,3+1,100,28000.0,Ano,5
praha8,1+kk,40,24900.0,Ano,5
praha9,2+kk,53,27700.0,,5
praha3,2+kk,52,25000.0,,5
praha5,1+kk,33,20000.0,,5
praha4,2+1,75,28000.0,Ne,5
praha5,2+kk,45,22000.0,Ano,5
praha4,2+kk,76,24500.0,,5
praha3,3+kk,109,59000.0,,5
praha5,2+kk,48,22800.0,Ne,5
praha5,1+kk,30,17000.0,,5
